Cluster, Group,Age,Expected Course Duration,Course Name,Interest,Qualification,Course ID,Gender
1,15-25,25,14,Data Structures and Algorithms,2,3,16,0
2,15-25,25,8,Big Data,4,2,3,0
2,25-35,35,7,programming(c++),4,4,29,1
3,15-25,25,7,programming(c++),5,3,29,0
3,15-25,25,12,Compilers,4,3,8,1
2,45-55,55,10,Machine Learning,4,4,38,1
3,15-25,25,7,programming(c++),4,3,29,0
3,15-25,25,10,Machine Learning,4,3,38,0
1,15-25,25,7,programming(java),4,3,30,0
1,15-25,25,7,programming(java),4,3,30,1
3,15-25,25,8,Data Analysis,5,3,11,0
2,15-25,25,9,Game Theory,5,1,22,1
2,35-45,45,12,Compilers,4,4,8,0
3,15-25,25,10,Machine Learning,5,3,38,1
3,15-25,25,14,Data Structures and Algorithms,4,3,16,1
1,15-25,25,10,Machine Learning,4,3,38,0
1,15-25,25,8,Introduction to Data Science,4,3,12,0
3,15-25,25,7,programming(c++),4,4,29,0
3,15-25,25,10,Machine Learning,4,3,38,1
3,15-25,25,7,programming(java),4,3,30,1
1,<15,15,14,Data Structures and Algorithms,5,0,16,2
3,15-25,25,7,programming(c++),4,3,29,0
2,35-45,45,8,Data Analysis,4,4,11,0
3,15-25,25,6,Automata,3,3,2,0
2,35-45,45,8,Big Data,5,3,3,0
2,35-45,45,9,Game Theory,5,4,22,0
2,35-45,45,10,Designing Cities,5,4,14,0
3,25-35,35,7,programming(c++),4,3,29,0
1,15-25,25,6,Cryptography I,3,3,10,0
3,45-55,55,9,Digital Signal Processing,4,3,17,0
1,15-25,25,8,Data Analysis,4,3,11,1
2,25-35,35,8,Big Data,4,3,3,0
3,45-55,55,7,programming(java),5,3,30,0
3,15-25,25,10,Machine Learning,4,4,38,0
3,45-55,55,7,programming(c++),4,3,29,0
3,15-25,25,7,programming(java),4,3,30,0
3,15-25,25,8,Introduction to Data Science,4,3,12,1
1,15-25,25,10,Machine Learning,4,3,38,0
2,35-45,45,6,An Introduction to Corporate Finance,3,4,20,1
3,45-55,55,10,Natural Language Processing,4,5,41,0
2,25-35,35,7,programming(c++),5,4,29,0
3,15-25,25,8,Introduction to Psychology,4,4,32,1
2,15-25,25,7,programming(java),5,4,30,1
2,25-35,35,8,Writing in Sciences,5,3,52,1
3,<15,15,7,Learn to Program: The Fundamentals,3,1,49,0
3,15-25,25,14,Data Structures and Algorithms,4,3,16,1
2,45-55,55,10,Natural Language Processing,2,4,41,1
1,15-25,25,9,Game Theory,3,3,22,1
3,25-35,35,6,Cryptography I,2,4,10,0
3,15-25,25,8,Design: Creation of Artifacts in Society,3,3,13,0
3,25-35,35,6,An Introduction to Corporate Finance,4,5,20,0
3,15-25,25,9,Digital Signal Processing,2,3,17,1
3,35-45,45,8,Statistics: Making Sense of Data,3,3,33,0
3,15-25,25,5,The Law of the European Union: An Introduction,4,3,31,1
2,15-25,25,8,Introduction to Psychology,3,4,32,1
3,15-25,25,8,Big Data,5,3,3,1
2,15-25,25,12,Statistics One,3,4,55,1
3,15-25,25,17,A Brief History of Humankind,4,3,28,1
3,25-35,35,6,An Introduction to Corporate Finance,2,3,20,0
1,15-25,25,10,Organizational Analysis,2,3,43,1
3,15-25,25,8,Introduction to Data Science,4,4,12,0
1,15-25,25,8,Introduction to Data Science,4,3,12,1
2,15-25,25,8,Big Data,3,4,3,0
3,15-25,25,6,Automata,4,2,2,0
3,15-25,25,8,Big Data,3,2,3,0
1,25-35,35,9,Digital Signal Processing,1,4,17,0
2,15-25,25,8,Data Analysis,4,2,11,1
3,15-25,25,7,programming(java),5,3,30,0
3,15-25,25,7,programming(c++),3,3,29,1
